UNIDADE,GRUPO,QUADRO FIXO,COORDENADAS,REQUISIÇÕES PARADAS,ABERTAS UNIDADES,ABERTAS VOLANTE,FECHADAS VOLANTE,FECHADAS UNIDADE,TOTAL ABERTAS,TOTAL FECHADAS,TOTAL DE CHAMADOS,Backlog Ativo,CONDIÇÃO
AIRJET - MANUTENÇÃO,Backoffice e Galpões,NÃO,"-23.511693716610818, -46.63558846223412",6,0,0,15,0,6,15,21,"28,57%",FULFILLED
NÚCLEO DE MEDICINA ESPORTIVA SPORT GRÉCIA (NEWON) - MANUTENÇÃO,Nucleo,NÃO,"-23.582365376337183, -46.66315772916175",28,3,3,69,30,34,99,133,"25,56%",FULFILLED
"NÚCLEO DE REABILITAÇÃO SANTANA (AVENIDA CRUZEIRO DO SUL, 2463)",Nucleo,NÃO,"-23.5092040595963, -46.62578377099817",36,0,4,123,0,40,123,163,"24,54%",FULFILLED
NÚCLEO DE MEDICINA AVANÇADA  ANÁLIA FRANCO - MANUTENÇÃO,Nucleo,NÃO,"-23.55922735052707, -46.56573318625675",77,2,1,46,207,80,253,333,"24,02%",FULFILLED
NÚCLEO DE MEDICINA AVANÇADA E DIAGNÓSTICA JARDIM SÃO PAULO (LEÔNCIO MAGALHÃES) - MANUTENÇÃO,Nucleo,NÃO,"-23.49348312030804, -46.617214741630065",11,1,12,80,0,24,80,104,"23,08%",FULFILLED
HOSPITAL DIA SANCTA MAGGIORE SÃO FRANCISCO - MANUTENÇÃO,Hospitais,NÃO,"-22.99561433150777, -43.357844037075566",0,103,0,7,556,103,563,666,"15,47%",FULFILLED
"NÚCLEO DE REABILITAÇÃO  ALTO DA MOOCA (RUA TAMARATACA, 129)",Nucleo,NÃO,"-23.5644168864315, -46.59174833701725",4,0,0,22,0,4,22,26,"15,38%",FULFILLED
HOSPITAL SANCTA MAGGIORE PINHEIROS - MANUTENÇÃO,Hospitais,NÃO,"-23.555416269135424, -46.67952698214926",0,0,18,47,56,18,103,121,"14,88%",FULFILLED
NUCLEO REABILITAÇÃO CLUBE DE REGATAS SANTOS - MANUTENÇÃO,Nucleo,NÃO,"-23.990921443059268, -46.3040926757105",0,3,0,0,19,3,19,22,"13,64%",FULFILLED
NÚCLEO ITAIM BIBI LOS ANGELES - MANUTENÇÃO,Nucleo,NÃO,"-23.585763866473027, -46.67993005829141",16,6,1,64,109,23,173,196,"11,73%",FULFILLED
HOSPITAL SANCTA MAGGIORE MOOCA - MANUTENÇÃO,Hospitais,SIM,"-23.55196958940299, -46.6249699456642",0,567,29,87,4402,596,4489,5085,"11,72%",FULFILLED
HOSPITAL SANCTA MAGGIORE ALTO DA MOOCA - MANUTENÇÃO,Hospitais,SIM,"-23.563739443590016, -46.59148140606962",0,345,12,144,2678,357,2822,3179,"11,23%",FULFILLED
HOSPITAL SANCTA MAGGIORE PARAÍSO - MANUTENÇÃO,Hospitais,SIM,"-23.570452266526043, -46.64176153339682",0,570,5,266,4377,575,4643,5218,"11,02%",FULFILLED
CASA DO ATOR - MANUTENÇÃO,Backoffice e Galpões,NÃO,"-23.59645418463128, -46.68421767572542",0,3,0,21,4,3,25,28,"10,71%",FULFILLED
NÚCLEO DE MEDICINA AVANÇADA E DIAGNÓSTICA SANTO AMARO (JOÃO DIAS) - MANUTENÇÃO,Nucleo,SIM,"-23.64511126644153, -46.70314888355881",0,19,0,55,114,19,169,188,"10,11%",FULFILLED
NÚCLEO DE MEDICINA AVANÇADA E DIAGNÓSTICA MALIBU - MANUTENÇÃO,Nucleo,NÃO,"-22.87727864897188, -43.27272950490728",0,5,0,8,40,5,48,53,"9,43%",FULFILLED
"RIO DE JANEIRO VENDAS E BO (RUA DIAS FERREIRA, 190 - 701) - MANUTENÇÃO",Backoffice e Galpões,NÃO,"-22.984629342456866, -43.22746839646021",0,1,0,6,4,1,10,11,"9,09%",FULFILLED
NÚCLEO DE MEDICINA DIAGNÓSTICA POR IMAGEM TATUAPÉ - MANUTENÇÃO,Nucleo,SIM,"-23.54225926392333, -46.569472672847425",0,23,24,65,418,47,483,530,"8,87%",FULFILLED
NÚCLEO DE OFTALMOLOGIA JARDIM PAULISTA (ALAMEDA CAMPINAS) - MANUTENÇÃO,Nucleo,SIM,"-23.56614768051603, -46.65321344090431",8,7,2,57,119,17,176,193,"8,81%",FULFILLED
NÚCLEO DE MEDICINA AVANÇADA MADRID - MANUTENÇÃO,Nucleo,NÃO,"-23.56209211053581, -46.63753902278524",44,55,0,24,1057,99,1081,1180,"8,39%",FULFILLED
